gene_id,gene_name,start,end,seqname
ENSG00000169885.10,CALML6,1915108,1917296,chr1
ENSG00000178821.13,TMEM52,1917590,1919279,chr1
ENSG00000142609.20,CFAP74,1921951,2003837,chr1
ENSG00000187730.9,GABRD,2019329,2030758,chr1
ENSG00000067606.17,PRKCZ,2050411,2185395,chr1
ENSG00000162585.17,FAAP20,2184461,2212720,chr1
ENSG00000157933.11,SKI,2227388,2310213,chr1
ENSG00000116151.14,MORN1,2321253,2391707,chr1
ENSG00000157916.20,RER1,2391775,2405442,chr1
ENSG00000157911.11,PEX10,2403964,2413797,chr1
ENSG00000149527.18,PLCH2,2425980,2505532,chr1
ENSG00000157881.16,PANK4,2508537,2526597,chr1
ENSG00000197921.6,HES5,2528745,2530263,chr1
ENSG00000157873.18,TNFRSF14,2555639,2565382,chr1
ENSG00000157870.17,PRXL2B,2586491,2591469,chr1
ENSG00000142606.16,MMEL1,2590639,2633016,chr1
ENSG00000215912.13,TTC34,2636986,2801693,chr1
ENSG00000169717.7,ACTRT2,3021467,3022903,chr1
ENSG00000142611.17,PRDM16,3069168,3438621,chr1
ENSG00000130762.15,ARHGEF16,3454665,3481113,chr1
ENSG00000162591.17,MEGF6,3487951,3611508,chr1
ENSG00000158109.15,TPRG1L,3625015,3630127,chr1
ENSG00000116213.16,WRAP73,3630767,3652761,chr1
ENSG00000078900.15,TP73,3652516,3736201,chr1
ENSG00000162592.10,CCDC27,3746460,3771645,chr1
ENSG00000235169.11,SMIM1,3772749,3775982,chr1
ENSG00000130764.10,LRRC47,3778559,3796498,chr1
ENSG00000116198.14,CEP104,3812086,3857396,chr1
ENSG00000169598.17,DFFB,3857267,3885429,chr1
ENSG00000198912.12,C1orf174,3889125,3900293,chr1
ENSG00000196581.11,AJAP1,4654609,4792534,chr1
ENSG00000131697.18,NPHP4,5862811,5992473,chr1
ENSG00000069424.16,KCNAB2,5990927,6101193,chr1
ENSG00000116254.18,CHD5,6101787,6180321,chr1
ENSG00000285629.1,ENSG00000285629,6159430,6197757,chr1
ENSG00000116251.11,RPL22,6185020,6209389,chr1
ENSG00000158286.13,RNF207,6205475,6221299,chr1
ENSG00000116237.16,ICMT,6221193,6235972,chr1
ENSG00000173673.9,HES3,6244179,6245578,chr1
ENSG00000158292.7,GPR153,6247353,6261098,chr1
ENSG00000097021.21,ACOT7,6264269,6393767,chr1
ENSG00000069812.11,HES2,6412418,6424670,chr1
ENSG00000187017.18,ESPN,6424776,6461367,chr1
ENSG00000215788.11,TNFRSF25,6460786,6466175,chr1
ENSG00000171680.23,PLEKHG5,6467122,6520074,chr1
ENSG00000162408.11,NOL9,6521347,6554513,chr1
ENSG00000173662.21,TAS1R1,6555307,6579755,chr1
ENSG00000204859.13,ZBTB48,6579994,6589280,chr1
ENSG00000162413.17,KLHL21,6590724,6614607,chr1
ENSG00000116273.6,PHF13,6613731,6624030,chr1
ENSG00000041988.16,THAP3,6624868,6635586,chr1
ENSG00000007923.17,DNAJC11,6634168,6701924,chr1
ENSG00000171735.21,CAMTA1,6785454,7769706,chr1
ENSG00000049245.13,VAMP3,7771296,7781432,chr1
ENSG00000049246.15,PER3,7784291,7845177,chr1
ENSG00000049247.14,UTS2,7843083,7853512,chr1
ENSG00000049249.10,TNFRSF9,7915871,7943165,chr1
ENSG00000116288.13,PARK7,7954291,7985505,chr1
ENSG00000116285.13,ERRFI1,8004404,8026309,chr1
ENSG00000162426.16,SLC45A1,8318114,8344167,chr1
ENSG00000142599.20,RERE,8352397,8848921,chr1
ENSG00000074800.16,ENO1,8861000,8879190,chr1
ENSG00000131686.15,CA6,8945867,8975092,chr1
ENSG00000197241.4,SLC2A7,9002973,9026423,chr1
ENSG00000142583.18,SLC2A5,9035106,9088478,chr1
ENSG00000180758.12,GPR157,9100305,9129102,chr1
ENSG00000049239.13,H6PD,9234774,9271337,chr1
ENSG00000171621.14,SPSB1,9292894,9369532,chr1
ENSG00000171612.7,SLC25A33,9539465,9585173,chr1
ENSG00000188807.13,TMEM201,9588911,9614877,chr1
ENSG00000171608.18,PIK3CD,9629889,9729114,chr1
ENSG00000171603.18,CLSTN1,9728926,9823984,chr1
ENSG00000178585.15,CTNNBIP1,9848276,9910336,chr1
ENSG00000162441.12,LZIC,9922113,9943407,chr1
ENSG00000173614.14,NMNAT1,9943428,9985501,chr1
ENSG00000162444.12,RBP7,9997206,10016021,chr1
ENSG00000130939.20,UBE4B,10032832,10181239,chr1
ENSG00000054523.20,KIF1B,10210570,10381603,chr1
ENSG00000142657.21,PGD,10398592,10420511,chr1
ENSG00000251503.8,CENPS-CORT,10430102,10452153,chr1
ENSG00000175279.22,CENPS,10430433,10442808,chr1
ENSG00000241563.4,CORT,10450031,10451998,chr1
ENSG00000160049.12,DFFA,10456522,10472529,chr1
ENSG00000142655.13,PEX14,10472288,10630758,chr1
ENSG00000130940.15,CASZ1,10636604,10796650,chr1
ENSG00000175262.15,C1orf127,10946471,10982076,chr1
ENSG00000120948.19,TARDBP,11012344,11030528,chr1
ENSG00000009724.18,MASP2,11022009,11047239,chr1
ENSG00000116649.10,SRM,11054584,11060020,chr1
ENSG00000171824.14,EXOSC10,11066618,11099869,chr1
ENSG00000198793.14,MTOR,11106535,11262556,chr1
ENSG00000171819.5,ANGPTL7,11189355,11195981,chr1
ENSG00000120942.14,UBIAD1,11273198,11296049,chr1
ENSG00000204624.8,DISP3,11479155,11537551,chr1
ENSG00000116661.11,FBXO2,11637018,11655785,chr1
ENSG00000132879.14,FBXO44,11654375,11663327,chr1
ENSG00000116670.16,MAD2L2,11658918,11691811,chr1
ENSG00000116663.11,FBXO6,11664200,11674354,chr1
ENSG00000162490.7,DRAXIN,11691710,11725857,chr1
ENSG00000177674.16,AGTRAP,11736084,11754802,chr1
ENSG00000215910.8,C1orf167,11761787,11789585,chr1
ENSG00000177000.13,MTHFR,11785723,11806455,chr1
ENSG00000011021.23,CLCN6,11806096,11848079,chr1
ENSG00000175206.11,NPPA,11845709,11848345,chr1
ENSG00000120937.9,NPPB,11857464,11858945,chr1
ENSG00000116685.17,KIAA2013,11919591,11926428,chr1
ENSG00000083444.17,PLOD1,11934205,11975538,chr1
ENSG00000116688.18,MFN2,11980181,12015211,chr1
ENSG00000116691.11,MIIP,12019466,12032045,chr1
ENSG00000120949.15,TNFRSF8,12063303,12144207,chr1
ENSG00000028137.19,TNFRSF1B,12166991,12209228,chr1
ENSG00000048707.15,VPS13D,12230030,12512047,chr1
ENSG00000162496.9,DHRS3,12567910,12618210,chr1
ENSG00000204518.3,AADACL4,12644085,12667076,chr1
ENSG00000188984.12,AADACL3,12716110,12728760,chr1
ENSG00000157330.10,CFAP107,12746200,12763699,chr1
ENSG00000116726.5,PRAMEF12,12773738,12777906,chr1
ENSG00000116721.9,PRAMEF1,12791397,12796628,chr1
ENSG00000239810.3,PRAMEF11,12824605,12831410,chr1
ENSG00000179172.10,HNRNPCL1,12847377,12848720,chr1
ENSG00000120952.4,PRAMEF2,12857086,12861909,chr1
ENSG00000243073.4,PRAMEF4,12879212,12886201,chr1
ENSG00000187545.5,PRAMEF10,12892896,12898270,chr1
ENSG00000204510.6,PRAMEF7,12916610,12920751,chr1
ENSG00000232423.6,PRAMEF6,12938472,12947580,chr1
ENSG00000274764.6,PRAMEF27,13049476,13056575,chr1
ENSG00000277058.3,HNRNPCL3,13060769,13062878,chr1
ENSG00000229571.7,PRAMEF25,13068677,13077884,chr1
ENSG00000275774.3,HNRNPCL2,13115488,13116854,chr1
ENSG00000280267.6,PRAMEF26,13148905,13158116,chr1
ENSG00000179412.11,HNRNPCL4,13163914,13165631,chr1
ENSG00000204505.5,PRAMEF9,13171848,13179459,chr1
ENSG00000279169.3,PRAMEF13,13196188,13201409,chr1
ENSG00000279804.3,PRAMEF18,13222695,13226154,chr1
ENSG00000270601.5,PRAMEF5,13254198,13263435,chr1
ENSG00000182330.11,PRAMEF8,13281304,13285137,chr1
ENSG00000237700.2,PRAMEF33,13303539,13308907,chr1
ENSG00000204501.7,PRAMEF15,13315581,13322598,chr1
ENSG00000204481.8,PRAMEF14,13341892,13347134,chr1
ENSG00000204480.9,PRAMEF19,13368431,13371947,chr1
ENSG00000204479.4,PRAMEF17,13389632,13392629,chr1
ENSG00000204478.11,PRAMEF20,13410450,13421328,chr1
ENSG00000162494.6,LRRC38,13474973,13514003,chr1
ENSG00000162493.17,PDPN,13583465,13617957,chr1
ENSG00000116731.23,PRDM2,13700188,13825079,chr1
ENSG00000189337.17,KAZN,13892792,15118043,chr1
ENSG00000171729.14,TMEM51,15152532,15220478,chr1
ENSG00000142621.21,FHAD1,15236521,15400283,chr1
ENSG00000142634.13,EFHD2,15409888,15430339,chr1
ENSG00000162438.12,CTRC,15438442,15449242,chr1
ENSG00000142615.8,CELA2A,15456728,15472091,chr1
ENSG00000215704.10,CELA2B,15465909,15491395,chr1
ENSG00000132906.18,CASP9,15490832,15526534,chr1
ENSG00000116138.13,DNAJC16,15526813,15592379,chr1
ENSG00000116771.6,AGMAT,15571699,15585051,chr1
ENSG00000197312.13,DDI2,15617458,15669044,chr1
ENSG00000215695.2,RSC1A1,15659713,15662033,chr1
ENSG00000116786.13,PLEKHM2,15684320,15734769,chr1
ENSG00000162461.8,SLC25A34,15736258,15741392,chr1
ENSG00000162460.7,TMEM82,15742499,15747982,chr1
ENSG00000162458.13,FBLIM1,15756607,15786594,chr1
ENSG00000233954.7,UQCRHL,15807169,15809348,chr1
ENSG00000065526.13,SPEN,15836095,15940456,chr1
ENSG00000116809.12,ZBTB17,15941869,15976132,chr1
ENSG00000183888.4,SRARP,16004236,16008807,chr1
ENSG00000173641.18,HSPB7,16014028,16019594,chr1
ENSG00000186510.12,CLCNKA,16018875,16034050,chr1
ENSG00000184908.20,CLCNKB,16040252,16057311,chr1
ENSG00000185519.9,FAM131C,16057769,16073651,chr1
ENSG00000142627.13,EPHA2,16124337,16156069,chr1
ENSG00000142632.17,ARHGEF19,16197854,16212652,chr1
ENSG00000132881.12,CPLANE2,16231692,16237183,chr1
ENSG00000037637.11,FBXO42,16246840,16352480,chr1
ENSG00000055070.17,SZRD1,16352575,16398145,chr1
ENSG00000187144.11,SPATA21,16387117,16437424,chr1
ENSG00000157191.20,NECAP2,16440721,16460078,chr1
ENSG00000219481.11,NBPF1,16562319,16613562,chr1
ENSG00000058453.17,CROCC,16740273,16972964,chr1
ENSG00000117122.14,MFAP2,16974502,16980632,chr1
ENSG00000159363.19,ATP13A2,16985958,17011928,chr1
ENSG00000288636.1,ENSG00000288636,17005068,17011757,chr1
ENSG00000117118.11,SDHB,17018664,17054032,chr1
ENSG00000117115.13,PADI2,17066761,17119451,chr1
ENSG00000142623.11,PADI1,17205128,17246007,chr1
ENSG00000142619.4,PADI3,17249098,17284233,chr1
ENSG00000159339.13,PADI4,17308195,17364004,chr1
ENSG00000276747.1,PADI6,17372196,17401699,chr1
ENSG00000179051.14,RCC2,17406760,17439677,chr1
ENSG00000074964.17,ARHGEF10L,17539698,17697874,chr1
ENSG00000117148.8,ACTL8,17755333,17827063,chr1
ENSG00000117154.12,IGSF21,18107798,18378483,chr1
ENSG00000179023.9,KLHDC7A,18480930,18485974,chr1
ENSG00000009709.12,PAX7,18630846,18748866,chr1
ENSG00000179002.6,TAS1R2,18839599,18859660,chr1
ENSG00000159423.17,ALDH4A1,18871430,18902724,chr1
ENSG00000169991.11,IFFO2,18904280,18956676,chr1
ENSG00000127481.15,UBR4,19074510,19210266,chr1
ENSG00000127463.16,EMC1,19215660,19251552,chr1
ENSG00000053372.5,MRTO4,19251805,19260128,chr1
ENSG00000211454.16,AKR7L,19265982,19274194,chr1
ENSG00000162482.5,AKR7A3,19282573,19288770,chr1
ENSG00000053371.13,AKR7A2,19303965,19312144,chr1
ENSG00000040487.13,SLC66A1,19312326,19329300,chr1
ENSG00000077549.19,CAPZB,19338775,19485539,chr1
ENSG00000173436.15,MICOS10,19484403,19629821,chr1
ENSG00000158747.15,NBL1,19596979,19658456,chr1
ENSG00000270136.6,MICOS10-NBL1,19597067,19656927,chr1
ENSG00000158748.4,HTR6,19664875,19680966,chr1
ENSG00000162542.14,TMCO4,19682240,19799945,chr1
ENSG00000178828.7,RNF186,19814029,19815283,chr1
ENSG00000169914.6,OTUD3,19882395,19912945,chr1
ENSG00000188784.4,PLA2G2E,19920009,19923617,chr1
ENSG00000188257.12,PLA2G2A,19975431,19980416,chr1
ENSG00000127472.11,PLA2G5,20028179,20091911,chr1
ENSG00000117215.15,PLA2G2D,20111939,20119566,chr1
ENSG00000158786.5,PLA2G2F,20139323,20150381,chr1
ENSG00000187980.7,PLA2G2C,20161253,20186518,chr1
ENSG00000162543.6,UBXN10,20186096,20196050,chr1
ENSG00000158816.16,VWA5B1,20290875,20359518,chr1
ENSG00000162545.6,CAMK2N1,20482391,20486210,chr1
ENSG00000090432.7,MUL1,20499448,20508151,chr1
ENSG00000183114.8,FAM43B,20552573,20555020,chr1
ENSG00000158825.6,CDA,20589086,20618903,chr1
ENSG00000158828.8,PINK1,20633458,20651511,chr1
ENSG00000244038.11,DDOST,20651767,20661544,chr1
ENSG00000117245.13,KIF17,20664014,20718017,chr1
ENSG00000189410.12,SH2D5,20719731,20732837,chr1
ENSG00000127483.19,HP1BP3,20740266,20787323,chr1
ENSG00000075151.24,EIF4G3,20806292,21177285,chr1
ENSG00000117298.16,ECE1,21217247,21345572,chr1
ENSG00000142794.19,NBPF3,21440128,21485005,chr1
ENSG00000162551.14,ALPL,21509397,21578410,chr1
ENSG00000289715.1,ENSG00000289715,21547404,21554002,chr1
ENSG00000076864.21,RAP1GAP,21596221,21669357,chr1
ENSG00000090686.16,USP48,21678298,21783606,chr1
ENSG00000187942.12,LDLRAD2,21812265,21825225,chr1
ENSG00000142798.20,HSPG2,21822244,21937310,chr1
ENSG00000219073.8,CELA3B,21977022,21998642,chr1
ENSG00000142789.20,CELA3A,22001657,22012542,chr1
ENSG00000289694.1,ENSG00000289694,22025142,22092943,chr1
ENSG00000070831.18,CDC42,22052627,22101360,chr1
ENSG00000162552.15,WNT4,22117313,22143969,chr1
ENSG00000184677.18,ZBTB40,22428838,22531157,chr1
ENSG00000070886.12,EPHA8,22563489,22603595,chr1
ENSG00000173372.18,C1QA,22635077,22639678,chr1
ENSG00000289692.1,ENSG00000289692,22636506,22644067,chr1
ENSG00000159189.13,C1QC,22643014,22648110,chr1
ENSG00000173369.18,C1QB,22652762,22661637,chr1
ENSG00000133216.17,EPHB2,22710839,22921500,chr1
ENSG00000215906.9,LACTBL1,22953043,22972866,chr1
ENSG00000227868.7,TEX46,23010834,23019100,chr1
ENSG00000004487.18,KDM1A,23019443,23083689,chr1
ENSG00000169641.15,LUZP1,23084030,23177808,chr1
ENSG00000179546.5,HTR1D,23191895,23217502,chr1
ENSG00000125944.21,HNRNPR,23303771,23344336,chr1
ENSG00000125945.15,ZNF436,23359448,23369836,chr1
ENSG00000204219.11,TCEA3,23380909,23424748,chr1
ENSG00000088280.20,ASAP3,23428563,23484568,chr1
ENSG00000007968.7,E2F2,23506438,23531233,chr1
ENSG00000117318.9,ID3,23557926,23559501,chr1
ENSG00000142676.14,RPL11,23691742,23696835,chr1
ENSG00000011007.13,ELOA,23743448,23762059,chr1
ENSG00000057757.10,PITHD1,23778418,23788232,chr1
ENSG00000011009.11,LYPLA2,23791145,23795539,chr1
ENSG00000117308.15,GALE,23795599,23800781,chr1
ENSG00000117305.15,HMGCL,23801885,23838620,chr1
ENSG00000179163.12,FUCA1,23845077,23868290,chr1
ENSG00000188822.8,CNR2,23870515,23913362,chr1
ENSG00000189266.13,PNRC2,23956839,23963462,chr1
ENSG00000188529.15,SRSF10,23964347,23980927,chr1
ENSG00000142661.19,MYOM3,24056035,24112135,chr1
ENSG00000142677.4,IL22RA1,24119771,24143140,chr1
ENSG00000185436.12,IFNLR1,24154168,24187959,chr1
ENSG00000158055.17,GRHL3,24199558,24364482,chr1
ENSG00000001460.18,STPG1,24356999,24416934,chr1
ENSG00000001461.17,NIPAL3,24415802,24472976,chr1
ENSG00000117602.13,RCAN3,24502351,24541040,chr1
ENSG00000184454.7,NCMAP,24556087,24609328,chr1
ENSG00000133226.19,SRRM1,24631716,24673281,chr1
ENSG00000169504.15,CLIC4,24745382,24844321,chr1
ENSG00000020633.19,RUNX3,24899511,24965121,chr1
ENSG00000117614.10,SYF2,25222276,25232502,chr1
ENSG00000117616.18,RSRP1,25242249,25338213,chr1
ENSG00000187010.21,RHD,25272393,25330445,chr1
ENSG00000183726.11,TMEM50A,25338317,25362361,chr1
ENSG00000188672.19,RHCE,25362249,25430192,chr1
ENSG00000204178.11,MACO1,25430858,25500209,chr1
ENSG00000157978.12,LDLRAP1,25543606,25568886,chr1
ENSG00000117643.15,MAN1C1,25616791,25786206,chr1
ENSG00000162430.18,SELENON,25800193,25818221,chr1
ENSG00000255054.3,ENSG00000255054,25811470,25823744,chr1
ENSG00000117640.18,MTFR1L,25818640,25832942,chr1
ENSG00000127423.11,AUNIP,25831913,25859458,chr1
ENSG00000182749.6,PAQR7,25861484,25875708,chr1
ENSG00000117632.23,STMN1,25884181,25906991,chr1
ENSG00000158006.14,PAFAH2,25959767,25998117,chr1
ENSG00000158008.10,EXTL1,26019884,26036464,chr1
ENSG00000158014.15,SLC30A2,26037252,26046118,chr1
ENSG00000158022.7,TRIM63,26051301,26068436,chr1
ENSG00000175087.10,PDIK1L,26111165,26125555,chr1
ENSG00000197245.6,FAM110D,26159079,26163962,chr1
ENSG00000282872.2,C1orf232,26164101,26168963,chr1
ENSG00000236782.8,ZNF593OS,26169516,26171832,chr1
ENSG00000142684.9,ZNF593,26169908,26170873,chr1
ENSG00000142675.18,CNKSR1,26177484,26189884,chr1
ENSG00000188782.9,CATSPER4,26190561,26202968,chr1
ENSG00000130695.16,CEP85,26234200,26278808,chr1
ENSG00000142669.15,SH3BGRL3,26280086,26281522,chr1
ENSG00000158062.21,UBXN11,26281328,26318363,chr1
ENSG00000169442.9,CD52,26317958,26320523,chr1
ENSG00000176092.17,CRYBG2,26321698,26360080,chr1
ENSG00000176083.18,ZNF683,26361634,26374522,chr1
ENSG00000131914.11,LIN28A,26410817,26429728,chr1
ENSG00000117682.18,DHDDS,26432282,26471306,chr1
ENSG00000198830.12,HMGN2,26472440,26476642,chr1
ENSG00000117676.14,RPS6KA1,26529761,26575030,chr1
ENSG00000117713.21,ARID1A,26693236,26782104,chr1
ENSG00000060642.12,PIGV,26787054,26800659,chr1
ENSG00000204160.12,ZDHHC18,26826688,26857604,chr1
ENSG00000175793.12,SFN,26863149,26864456,chr1
ENSG00000142751.15,GPN2,26876132,26890283,chr1
ENSG00000198746.13,GPATCH3,26890488,26900467,chr1
ENSG00000090273.14,NUDC,26900238,26946871,chr1
ENSG00000131910.5,NR0B2,26911489,26913975,chr1
ENSG00000175707.10,KDF1,26949562,26960468,chr1
ENSG00000253368.4,TRNP1,26993692,27000886,chr1
ENSG00000158246.8,TENT5B,27005020,27012850,chr1
ENSG00000090020.11,SLC9A1,27098809,27166981,chr1
ENSG00000142784.16,WDTC1,27234632,27308636,chr1
ENSG00000186501.15,TMEM222,27322145,27336400,chr1
ENSG00000142765.18,SYTL1,27342020,27353937,chr1
ENSG00000142733.18,MAP3K6,27355184,27366961,chr1
ENSG00000142748.14,FCN3,27369110,27374824,chr1
ENSG00000174950.11,CD164L2,27379176,27383333,chr1
ENSG00000181773.7,GPR3,27392622,27395814,chr1
ENSG00000158195.11,WASF2,27404230,27490167,chr1
ENSG00000126705.15,AHDC1,27534035,27604431,chr1
ENSG00000000938.13,FGR,27612064,27635185,chr1
ENSG00000126709.16,IFI6,27666064,27672212,chr1
ENSG00000009780.16,FAM76A,27725961,27763116,chr1
ENSG00000117758.14,STX12,27773219,27824443,chr1
ENSG00000117751.18,PPP1R8,27830782,27851676,chr1
ENSG00000130775.16,THEMIS2,27872543,27886685,chr1
ENSG00000117748.10,RPA2,27891524,27914746,chr1
ENSG00000130768.15,SMPDL3B,27935000,27959157,chr1
ENSG00000158156.9,XKR8,27959588,27968093,chr1
ENSG00000158161.16,EYA3,27970344,28088637,chr1
ENSG00000169403.12,PTAFR,28147166,28193936,chr1
ENSG00000126698.11,DNAJC8,28199456,28233029,chr1
ENSG00000130770.18,ATP5IF1,28236109,28246906,chr1
ENSG00000130766.5,SESN2,28259518,28282491,chr1
ENSG00000130772.14,MED18,28329002,28335965,chr1
ENSG00000204138.13,PHACTR4,28369582,28500364,chr1
ENSG00000180198.17,RCC1,28505943,28539300,chr1
ENSG00000180098.9,TRNAU1AP,28553085,28578545,chr1
ENSG00000120656.14,TAF12,28587829,28648291,chr1
ENSG00000188060.8,RAB42,28592200,28595449,chr1
ENSG00000162419.13,GMEB1,28668778,28719353,chr1
ENSG00000198492.16,YTHDF2,28736621,28769775,chr1
ENSG00000116329.12,OPRD1,28812170,28871267,chr1
ENSG00000159023.23,EPB41,28887091,29120046,chr1
ENSG00000253304.2,TMEM200B,29119429,29123903,chr1
ENSG00000116350.18,SRSF4,29147743,29181900,chr1
ENSG00000116353.16,MECR,29192657,29230942,chr1
ENSG00000060656.20,PTPRU,29236516,29326813,chr1
ENSG00000289710.1,ENSG00000289710,30576655,30576825,chr1
ENSG00000162510.6,MATN1,30711277,30723585,chr1
ENSG00000162511.8,LAPTM5,30732469,30757774,chr1
ENSG00000162512.16,SDC3,30869466,30908758,chr1
ENSG00000134644.16,PUM1,30931506,31065991,chr1
ENSG00000084628.10,NKAIN1,31179745,31239887,chr1
ENSG00000060688.13,SNRNP40,31259568,31296788,chr1
ENSG00000121766.16,ZCCHC17,31296982,31364953,chr1
ENSG00000121769.8,FABP3,31365253,31376850,chr1
ENSG00000168528.12,SERINC2,31409565,31434680,chr1
ENSG00000142910.16,TINAGL1,31576485,31587686,chr1
ENSG00000121764.12,HCRTR1,31617686,31632518,chr1
ENSG00000162517.13,PEF1,31629866,31644896,chr1
ENSG00000084636.18,COL16A1,31652263,31704319,chr1
ENSG00000121753.13,ADGRB2,31727117,31764893,chr1
ENSG00000134668.13,SPOCD1,31790422,31816022,chr1
ENSG00000184007.22,PTP4A2,31906421,31944856,chr1
ENSG00000288678.2,ENSG00000288678,31919563,31938010,chr1
ENSG00000121774.18,KHDRBS1,32013868,32060850,chr1
ENSG00000121775.18,TMEM39B,32072031,32102866,chr1
ENSG00000025800.14,KPNA6,32108056,32176563,chr1
ENSG00000084652.16,TXLNA,32179675,32198285,chr1
ENSG00000160050.16,CCDC28B,32200595,32205453,chr1
ENSG00000160051.12,IQCC,32205671,32208682,chr1
ENSG00000222046.3,DCDC2B,32209089,32216192,chr1
ENSG00000160055.20,TMEM234,32214472,32222359,chr1
ENSG00000084623.12,EIF3I,32221077,32245397,chr1
ENSG00000183615.6,FAM167B,32247222,32248856,chr1
ENSG00000182866.18,LCK,32251244,32286165,chr1
ENSG00000116478.12,HDAC1,32292083,32333635,chr1
ENSG00000175130.7,MARCKSL1,32333839,32336233,chr1
ENSG00000162526.7,TSSK3,32351521,32364312,chr1
ENSG00000225828.2,FAM229A,32361270,32364278,chr1
ENSG00000160058.19,BSDC1,32364633,32394731,chr1
ENSG00000254553.1,ENSG00000254553,32465057,32600792,chr1
ENSG00000273274.2,ZBTB8B,32465072,32496686,chr1
ENSG00000160062.15,ZBTB8A,32539427,32605941,chr1
ENSG00000176261.16,ZBTB8OS,32600172,32650903,chr1
ENSG00000162521.19,RBBP4,32651142,32686211,chr1
ENSG00000162520.15,SYNC,32679906,32703596,chr1
ENSG00000162522.11,KIAA1522,32741830,32774970,chr1
ENSG00000134684.13,YARS1,32775237,32818031,chr1
ENSG00000116497.18,S100PBP,32816767,32858875,chr1
ENSG00000160097.21,FNDC5,32862268,32872482,chr1
ENSG00000121905.10,HPCA,32885994,32898441,chr1
ENSG00000121900.19,TMEM54,32894594,32901438,chr1
ENSG00000116514.17,RNF19B,32936445,32964809,chr1
ENSG00000004455.18,AK2,33007986,33080996,chr1
ENSG00000142920.18,AZIN2,33081104,33123492,chr1
ENSG00000116525.14,TRIM62,33145399,33182059,chr1
ENSG00000160094.15,ZNF362,33256492,33300719,chr1
ENSG00000184389.9,A3GALT2,33306766,33321098,chr1
ENSG00000134686.21,PHC2,33323623,33431095,chr1
ENSG00000121903.15,ZSCAN20,33472645,33501643,chr1
ENSG00000121904.19,CSMD2,33513998,34165842,chr1
ENSG00000176256.11,HMGB4,33860475,33864791,chr1
ENSG00000142698.15,C1orf94,34166883,34219131,chr1
ENSG00000163866.9,SMIM12,34712737,34859755,chr1
ENSG00000189280.3,GJB5,34755047,34758512,chr1
ENSG00000189433.7,GJB4,34759740,34762327,chr1
ENSG00000188910.8,GJB3,34781214,34786369,chr1
ENSG00000187513.9,GJA4,34792999,34795747,chr1
ENSG00000116544.12,DLGAP3,34865436,34929650,chr1
ENSG00000284773.1,ENSG00000284773,34974356,34985313,chr1
ENSG00000243749.2,TMEM35B,34981380,34985347,chr1
ENSG00000271741.1,ENSG00000271741,34981533,35031741,chr1
